GeneName	GeneID	WT_R	WT_L	MDX_R	MDX_L
Dclk3	ENSMUSG00000032500	3.655	3.315	1.052	0.543
Trib1	ENSMUSG00000032501	52.455	53.15	24.682	28.878
Stac	ENSMUSG00000032502	3.13	3.565	2.517	2.814
Arpp21	ENSMUSG00000032503	0.655	2.825	18.545	25.778
Pdcd6ip	ENSMUSG00000032504	59.485	63.335	66.483	72.85
Fbxl2	ENSMUSG00000032507	4.855	4.665	6.856	7.559
Myd88	ENSMUSG00000032508	95.39	102.05	63.823	59.973
Scn5a	ENSMUSG00000032511	1.865	1.615	1.568	2.95
Wdr48	ENSMUSG00000032512	19.27	23.4	21.948	27.862
Gorasp1	ENSMUSG00000032513	5.82	6.075	5.411	5.511
Csrnp1	ENSMUSG00000032515	104.915	126.15	67.949	79.467
Rpsa	ENSMUSG00000032518	208.9	268.85	444.751	563.033
Slc25a38	ENSMUSG00000032519	7.57	7.49	10.706	8.988
Hhatl	ENSMUSG00000032523	0.56	0.28	0.363	0.709
Nktr	ENSMUSG00000032525	56.17	47.705	46.377	30.433
Deb1	ENSMUSG00000032526	60.505	45.65	32.581	35.438
Pccb	ENSMUSG00000032527	4.38	7.015	5.857	6.207
Amotl2	ENSMUSG00000032531	23.095	23.335	20.753	16.543
Cck	ENSMUSG00000032532	1.435	5.59	4.316	4.266
Cep63	ENSMUSG00000032534	18.75	17.985	14.819	18.528
Trak1	ENSMUSG00000032536	9.905	10.605	9.284	12.917
Ephb1	ENSMUSG00000032537	1.22	0.77	2.804	2.677
Abhd5	ENSMUSG00000032540	31.36	27.255	31.139	26.137
Ryk	ENSMUSG00000032547	24.845	21.42	25.275	31.552
Slco2a1	ENSMUSG00000032548	8.145	8.655	3.297	2.747
Rab6b	ENSMUSG00000032549	6.815	5.725	2.461	2.737
1110059G10Rik	ENSMUSG00000032551	23.6	19.425	21.675	16.021
Srprb	ENSMUSG00000032553	12.58	20.685	25.834	29.943
Trf	ENSMUSG00000032554	64.775	80.195	45.954	82.844
Topbp1	ENSMUSG00000032555	4.99	7.17	12.594	15.721
Bfsp2	ENSMUSG00000032556	0.675	0.325	0.063	0.226
Uba5	ENSMUSG00000032557	24.42	23.445	32.647	33.287
Nphp3	ENSMUSG00000032558	1.21	2.07	0.826	0.879
Dnajc13	ENSMUSG00000032560	18.615	15.875	11.389	14.029
Gnai2	ENSMUSG00000032562	153.765	239.88	281.954	322.87
Mrpl3	ENSMUSG00000032563	35.78	35.575	69.83	88.002
Cpne4	ENSMUSG00000032564	0.0	0.0	0.326	0.513
Nudt16	ENSMUSG00000032565	5.695	7.065	6.966	8.278
Aste1	ENSMUSG00000032567	14.98	10.365	14.782	16.52
Atp2c1	ENSMUSG00000032570	42.225	37.63	39.301	51.429
Pik3r4	ENSMUSG00000032571	3.705	8.01	6.913	7.546
Manf	ENSMUSG00000032575	127.85	108.8	196.963	179.89
Mapkapk3	ENSMUSG00000032577	2.855	3.835	6.154	8.511
Cish	ENSMUSG00000032578	8.11	12.96	9.837	8.009
Hemk1	ENSMUSG00000032579	1.93	2.795	3.47	2.621
Rbm5	ENSMUSG00000032580	97.875	71.08	92.777	83.257
Rbm6	ENSMUSG00000032582	38.64	38.765	38.089	32.391
Mon1a	ENSMUSG00000032583	3.375	4.06	4.552	6.26
Mst1r	ENSMUSG00000032584	0.3	0.56	0.866	0.683
Traip	ENSMUSG00000032586	0.675	0.975	2.721	3.26
Apeh	ENSMUSG00000032590	6.305	10.305	11.495	18.681
Amigo3	ENSMUSG00000032593	0.39	0.7	0.729	0.819
Ip6k1	ENSMUSG00000032594	22.53	30.845	17.865	20.619
Uba7	ENSMUSG00000032596	10.3	7.505	9.327	12.101
Nckipsd	ENSMUSG00000032598	2.155	3.52	3.387	3.52
Ip6k2	ENSMUSG00000032599	17.865	13.675	11.528	11.389
Prkar2a	ENSMUSG00000032601	23.155	17.335	13.586	14.819
Slc25a20	ENSMUSG00000032602	10.315	18.105	17.549	22.174
Qars	ENSMUSG00000032604	22.41	21.57	32.291	41.422
Nicn1	ENSMUSG00000032606	9.5	11.735	12.547	11.032
Klhdc8b	ENSMUSG00000032609	10.52	10.62	11.169	9.677
1700102P08Rik	ENSMUSG00000032611	0.055	0.225	0.093	0.326
Usp4	ENSMUSG00000032612	33.785	35.555	37.922	45.987
Nt5m	ENSMUSG00000032615	5.54	9.575	11.775	12.444
Srek1	ENSMUSG00000032621	42.54	28.94	28.049	25.118
Eml4	ENSMUSG00000032624	5.355	4.3	5.251	7.056
Thsd7a	ENSMUSG00000032625	2.325	4.18	1.692	1.945
Flcn	ENSMUSG00000032633	7.305	12.98	12.248	17.769
Atxn2l	ENSMUSG00000032637	20.525	18.965	14.402	17.026
Chsy1	ENSMUSG00000032640	4.13	3.425	4.878	5.052
Gpr19	ENSMUSG00000032641	2.78	6.26	2.874	3.563
Fhl3	ENSMUSG00000032643	0.285	0.28	0.656	0.982
Pygm	ENSMUSG00000032648	21.195	42.27	22.061	27.769
Colgalt2	ENSMUSG00000032649	4.365	2.48	4.226	1.732
Crebl2	ENSMUSG00000032652	4.69	4.315	2.454	2.045
March3	ENSMUSG00000032656	3.935	8.71	5.288	7.09
Fam189b	ENSMUSG00000032657	1.985	8.485	3.946	5.215
Oas3	ENSMUSG00000032661	0.025	0.0	0.103	1.052
1700025G04Rik	ENSMUSG00000032666	41.83	68.135	71.998	48.062
Pon2	ENSMUSG00000032667	54.505	62.125	44.089	34.689
Prorsd1	ENSMUSG00000032673	16.045	14.975	15.311	12.714
Cd59a	ENSMUSG00000032679	140.2	84.405	51.985	36.454
Malt1	ENSMUSG00000032688	3.445	2.505	2.761	3.293
Oas2	ENSMUSG00000032690	0.87	0.98	2.081	3.35
Nlrp3	ENSMUSG00000032691	0.16	0.465	0.576	1.342
Lmo2	ENSMUSG00000032698	45.745	24.62	24.219	23.899
Kank1	ENSMUSG00000032702	10.285	9.33	5.248	5.148
Exd2	ENSMUSG00000032705	14.55	13.5	10.493	10.889
2810474O19Rik	ENSMUSG00000032712	128.2	80.15	108.035	84.359
Syde1	ENSMUSG00000032714	2.75	4.215	4.176	5.095
Trib3	ENSMUSG00000032715	0.755	1.02	1.532	1.718
Mansc1	ENSMUSG00000032718	1.85	1.15	0.852	0.946
Sbspon	ENSMUSG00000032719	19.05	16.695	6.633	6.207
Abtb2	ENSMUSG00000032724	6.78	7.33	5.008	5.754
Folr2	ENSMUSG00000032725	1.12	5.68	16.227	35.977
Mier3	ENSMUSG00000032727	11.975	8.175	6.98	7.226
Snx33	ENSMUSG00000032733	2.015	1.925	2.531	1.998
Ablim3	ENSMUSG00000032735	6.63	8.16	14.086	11.951
Inppl1	ENSMUSG00000032737	4.465	5.825	9.234	14.602
Ccdc88a	ENSMUSG00000032740	10.11	7.945	8.212	5.931
Tpcn1	ENSMUSG00000032741	2.555	2.655	3.037	3.067
D430042O09Rik	ENSMUSG00000032743	1.39	1.295	1.056	0.942
Heyl	ENSMUSG00000032744	30.395	35.805	29.131	27.692
Gpbp1	ENSMUSG00000032745	120.075	106.62	97.149	84.316
Gab3	ENSMUSG00000032750	4.01	2.3	4.123	2.418
Slc8b1	ENSMUSG00000032754	6.4	6.7	6.613	7.925
Bet1	ENSMUSG00000032757	56.31	49.68	63.783	44.945
Ilvbl	ENSMUSG00000032763	9.605	16.04	12.587	15.664
Gng11	ENSMUSG00000032766	630.415	399.395	558.654	236.963
Mctp2	ENSMUSG00000032776	0.215	0.88	0.25	0.44
Gtf3c1	ENSMUSG00000032777	5.23	7.405	6.067	7.702
Cntrob	ENSMUSG00000032782	0.83	2.06	1.898	2.358
Troap	ENSMUSG00000032783	0.36	1.27	2.544	3.51
Alas1	ENSMUSG00000032786	28.415	43.315	36.69	47.373
Pdxk	ENSMUSG00000032788	5.235	4.23	7.226	9.71
Srxn1	ENSMUSG00000032802	82.485	119.78	72.574	107.253
Cdv3	ENSMUSG00000032803	29.15	27.125	33.8	54.282
Slc10a3	ENSMUSG00000032806	6.04	8.98	11.935	15.255
Arap1	ENSMUSG00000032812	9.835	12.475	10.679	14.652
Fanca	ENSMUSG00000032815	1.54	2.635	3.104	5.005
Igdcc4	ENSMUSG00000032816	6.42	5.31	6.34	6.484
Ank2	ENSMUSG00000032826	11.82	8.21	5.102	5.058
Ppp1r9a	ENSMUSG00000032827	5.49	2.3	2.391	1.895
Pwp2	ENSMUSG00000032834	4.485	3.915	4.822	7.163
Trpc1	ENSMUSG00000032839	6.135	3.71	2.095	2.514
2410131K14Rik	ENSMUSG00000032840	1.81	1.905	2.847	2.811
Prr5l	ENSMUSG00000032841	1.025	1.725	1.672	2.101
Abcc10	ENSMUSG00000032842	0.68	0.845	0.866	1.242
Alpk2	ENSMUSG00000032845	0.065	0.28	0.21	0.47
Zswim6	ENSMUSG00000032846	2.195	2.165	1.352	1.282
Abcc4	ENSMUSG00000032849	1.64	3.3	1.968	1.978
Ugt8a	ENSMUSG00000032854	20.565	20.27	3.646	3.916
Pkd1	ENSMUSG00000032855	6.4	6.395	7.293	6.154
P2ry2	ENSMUSG00000032860	7.355	7.915	7.852	10.996
Fbxw8	ENSMUSG00000032867	7.58	11.91	16.677	20.16
Psmf1	ENSMUSG00000032869	9.595	13.3	15.538	17.756
Smap2	ENSMUSG00000032870	4.575	5.135	5.002	6.727
Cyb5r4	ENSMUSG00000032872	29.32	30.055	39.247	43.74
Arhgef17	ENSMUSG00000032875	3.055	4.285	2.551	3.457
Ccdc85a	ENSMUSG00000032878	6.155	6.465	8.921	4.882
Acsl3	ENSMUSG00000032883	26.42	20.89	32.677	36.107
Rangrf	ENSMUSG00000032892	15.185	21.33	31.185	36.883
Nfyc	ENSMUSG00000032897	20.395	25.07	34.329	38.109
Fbxo21	ENSMUSG00000032898	12.97	4.775	10.42	11.239
Styk1	ENSMUSG00000032899	0.575	0.0	0.353	0.43
Slc16a1	ENSMUSG00000032902	49.085	38.87	34.339	36.603
Atg12	ENSMUSG00000032905	17.79	19.29	19.227	20.563
Cspg4	ENSMUSG00000032911	14.985	9.215	8.834	7.1
Lrig2	ENSMUSG00000032913	9.535	8.98	8.904	7.629
Adgre4	ENSMUSG00000032915	0.24	0.16	1.059	1.126
Itgbl1	ENSMUSG00000032925	49.555	32.185	71.678	34.089
Hspa13	ENSMUSG00000032932	26.3	24.965	18.648	18.168
Camkv	ENSMUSG00000032936	0.58	0.225	0.19	0.143
Nup93	ENSMUSG00000032939	10.6	16.365	36.933	50.453
Ucp3	ENSMUSG00000032942	0.185	0.85	0.143	0.36
Rasgrp2	ENSMUSG00000032946	32.935	30.435	34.642	25.694
Ap4b1	ENSMUSG00000032952	7.705	8.1	9.317	11.805
Pebp1	ENSMUSG00000032959	133.625	173.66	228.008	272.87
Ift57	ENSMUSG00000032965	51.945	39.005	33.683	29.004
Fkbp1a	ENSMUSG00000032966	245.36	357.05	324.339	378.435
Inha	ENSMUSG00000032968	0.785	0.105	0.4	0.789
Fam207a	ENSMUSG00000032977	5.68	5.04	7.399	9.441
Chpf	ENSMUSG00000032997	20.09	27.335	33.53	33.876
Foxj3	ENSMUSG00000032998	22.96	14.97	11.345	16.96
Mycbp2	ENSMUSG00000033004	8.205	5.32	3.763	4.855
Sox10	ENSMUSG00000033006	22.665	29.27	4.372	7.236
Ogfod1	ENSMUSG00000033009	2.67	5.855	3.693	3.783
Trim33	ENSMUSG00000033014	3.425	4.075	2.554	2.281
Nfatc1	ENSMUSG00000033016	21.76	23.295	15.671	17.413
Polr2f	ENSMUSG00000033020	52.795	86.445	115.714	138.575
Gmppa	ENSMUSG00000033021	19.39	31.56	35.348	38.928
Cdo1	ENSMUSG00000033022	4.92	5.495	1.126	1.049
Klra9	ENSMUSG00000033024	1.7	1.35	2.218	0.509
1700088E04Rik	ENSMUSG00000033029	2.845	3.37	2.155	2.238
C330027C09Rik	ENSMUSG00000033031	1.25	6.68	10.979	15.388
Afap1l1	ENSMUSG00000033032	17.5	21.745	27.885	25.161
Calhm2	ENSMUSG00000033033	2.005	2.04	2.614	1.845
Gm7879	ENSMUSG00000033036	0.64	0.58	1.645	2.378
Micall1	ENSMUSG00000033039	2.835	4.74	2.524	4.769
Dhrs7c	ENSMUSG00000033044	0.68	0.455	1.602	1.672
Eif3l	ENSMUSG00000033047	63.96	76.81	108.138	141.139
Npat	ENSMUSG00000033054	6.07	5.125	5.538	5.664
Ankrd54	ENSMUSG00000033055	8.105	9.885	14.389	15.744
Pygb	ENSMUSG00000033059	16.6	15.875	15.235	15.611
Lmo7	ENSMUSG00000033060	10.685	12.59	15.261	18.325
Pfkm	ENSMUSG00000033065	7.76	16.185	11.562	15.211
Gas7	ENSMUSG00000033066	13.57	24.775	5.974	8.878
Entpd6	ENSMUSG00000033068	1.89	2.175	3.193	4.888
Senp1	ENSMUSG00000033075	11.375	11.495	12.914	15.371
Clec1a	ENSMUSG00000033082	8.815	8.185	8.422	4.892
Tbc1d4	ENSMUSG00000033083	3.51	4.4	1.755	2.807
Triobp	ENSMUSG00000033088	11.615	21.295	17.689	16.993
Apmap	ENSMUSG00000033096	31.845	27.465	27.639	30.579
Nol12	ENSMUSG00000033099	13.635	20.075	20.043	23.27
Cdc14b	ENSMUSG00000033102	2.025	3.0	2.824	4.259
Lss	ENSMUSG00000033105	3.245	1.665	3.034	3.46
Slc7a6os	ENSMUSG00000033106	20.47	23.74	20.246	23.593
Rnf125	ENSMUSG00000033107	66.765	80.43	71.419	67.492
3830406C13Rik	ENSMUSG00000033111	13.715	12.475	11.242	10.1
Slc35d2	ENSMUSG00000033114	3.985	3.515	3.094	4.103
Atg9a	ENSMUSG00000033124	9.765	9.435	10.25	12.488
Gga1	ENSMUSG00000033128	4.935	6.395	5.145	7.779
Slc22a15	ENSMUSG00000033147	1.655	2.3	1.828	1.568
Phldb2	ENSMUSG00000033149	14.075	10.935	13.413	10.107
Podxl2	ENSMUSG00000033152	6.165	7.1	8.588	5.731
Abhd10	ENSMUSG00000033157	13.925	9.95	12.874	12.734
Cnppd1	ENSMUSG00000033159	14.32	20.305	17.063	20.173
Atp1a1	ENSMUSG00000033161	30.96	22.04	25.551	30.559
Dis3	ENSMUSG00000033166	15.925	11.795	20.33	26.777
Card10	ENSMUSG00000033170	6.775	8.33	4.935	5.075
Mgll	ENSMUSG00000033174	82.22	91.07	85.821	60.673
Kbtbd12	ENSMUSG00000033182	0.13	1.06	3.137	2.065
Tmed7	ENSMUSG00000033184	79.77	82.095	82.657	80.746
Mzt1	ENSMUSG00000033186	9.065	10.81	10.962	10.856
Tie1	ENSMUSG00000033191	17.12	25.415	27.549	25.744
Lpcat2	ENSMUSG00000033192	14.48	27.045	5.338	13.616
Myh2	ENSMUSG00000033196	0.34	19.98	0.147	1.292
Tpsg1	ENSMUSG00000033200	0.69	1.575	0.263	0.157
Mamdc2	ENSMUSG00000033207	40.0	18.15	16.36	10.496
S100b	ENSMUSG00000033208	37.7	42.84	6.244	7.566
Ttc28	ENSMUSG00000033209	1.87	1.925	2.161	2.224
AA467197	ENSMUSG00000033213	0.205	0.945	8.928	12.161
Slitrk5	ENSMUSG00000033214	1.065	0.545	0.13	0.093
Eefsec	ENSMUSG00000033216	5.77	9.33	10.39	13.293
Rac2	ENSMUSG00000033220	1.61	2.355	3.413	6.277
Ttf2	ENSMUSG00000033222	0.77	1.8	3.144	4.163
Wnt6	ENSMUSG00000033227	3.41	3.495	1.309	1.062
Scaf11	ENSMUSG00000033228	21.18	17.075	20.956	17.929
Arid2	ENSMUSG00000033237	5.815	6.29	4.146	4.649
Szt2	ENSMUSG00000033253	0.385	0.655	0.696	0.636
Shf	ENSMUSG00000033256	1.745	1.765	1.728	2.095
Ttll4	ENSMUSG00000033257	6.64	4.77	4.296	6.334
Slc35a4	ENSMUSG00000033272	34.325	48.025	63.816	81.968
Stk36	ENSMUSG00000033276	1.525	1.93	1.195	2.095
Ptprm	ENSMUSG00000033278	13.69	11.03	10.982	9.271
Rpgrip1l	ENSMUSG00000033282	3.045	1.575	4.376	3.21
Wdr3	ENSMUSG00000033285	15.525	10.545	16.567	19.774
Kctd17	ENSMUSG00000033287	9.735	15.565	15.152	18.302
Noc4l	ENSMUSG00000033294	14.195	15.195	19.827	28.198
Ptprf	ENSMUSG00000033295	7.62	7.1	1.958	2.444
Lpp	ENSMUSG00000033306	6.83	5.865	5.714	6.434
Mif	ENSMUSG00000033307	164.835	219.21	553.426	727.815
Dpyd	ENSMUSG00000033308	6.25	3.585	2.005	2.168
Fbxl8	ENSMUSG00000033313	0.92	1.045	2.118	2.857
Gstt2	ENSMUSG00000033318	6.545	10.735	9.767	6.094
Fem1c	ENSMUSG00000033319	13.81	11.885	13.899	17.066
Ctdp1	ENSMUSG00000033323	10.58	12.305	11.116	13.074
Kdm4a	ENSMUSG00000033326	3.99	3.725	3.626	3.936
Tnxb	ENSMUSG00000033327	1.725	1.5	1.702	0.846
Dnm2	ENSMUSG00000033335	20.745	35.73	34.349	40.233
Chst2	ENSMUSG00000033350	0.61	0.715	1.359	1.555
Map2k4	ENSMUSG00000033352	43.095	39.46	51.801	55.864
Rtp4	ENSMUSG00000033355	28.635	28.225	31.282	35.591
Pus7l	ENSMUSG00000033356	2.145	2.805	3.63	3.653
Prrg3	ENSMUSG00000033361	7.64	4.555	3.65	2.924
Usp37	ENSMUSG00000033364	14.21	11.33	6.354	6.29
Ipo13	ENSMUSG00000033365	7.155	23.295	13.77	19.181
Fntb	ENSMUSG00000033373	2.42	4.45	2.774	4.396
Palmd	ENSMUSG00000033377	35.765	27.54	30.589	20.08
Atp6v0b	ENSMUSG00000033379	89.06	137.32	146.57	154.089
Trappc8	ENSMUSG00000033382	17.685	14.94	13.606	12.97
Frrs1	ENSMUSG00000033386	1.985	4.675	6.344	8.412
Arhgap44	ENSMUSG00000033389	1.73	1.265	1.165	1.205
Clasp2	ENSMUSG00000033392	13.88	13.405	8.022	8.432
Spg11	ENSMUSG00000033396	2.93	3.82	2.424	3.104
Agl	ENSMUSG00000033400	14.83	16.05	14.885	15.421
Nudt15	ENSMUSG00000033405	1.165	0.975	1.139	1.861
Ctdspl2	ENSMUSG00000033411	23.34	18.605	19.897	17.156
Gucd1	ENSMUSG00000033416	3.93	6.655	6.34	9.068
Cacul1	ENSMUSG00000033417	6.255	6.825	6.437	7.133
Antxr1	ENSMUSG00000033420	5.54	4.075	6.73	6.42
Eri3	ENSMUSG00000033423	26.305	41.9	38.412	45.748
Mcee	ENSMUSG00000033429	30.325	41.255	32.611	27.499
Terf2ip	ENSMUSG00000033430	8.135	8.67	8.838	8.338
Gtpbp6	ENSMUSG00000033434	5.875	7.695	9.824	10.966
Armcx2	ENSMUSG00000033436	22.51	15.22	27.806	31.788
Trmt13	ENSMUSG00000033439	13.59	7.91	11.885	9.6
Specc1l	ENSMUSG00000033444	11.135	9.985	10.583	12.444
Lpar6	ENSMUSG00000033446	9.535	6.53	7.772	5.085
Tagap	ENSMUSG00000033450	0.21	0.895	0.529	0.756
Adamts15	ENSMUSG00000033453	2.15	3.24	2.751	2.887
Zbtb1	ENSMUSG00000033454	6.91	6.42	5.291	5.997
Fan1	ENSMUSG00000033458	2.045	1.465	1.265	0.962
Armcx1	ENSMUSG00000033460	11.655	10.86	13.796	11.289
Crlf2	ENSMUSG00000033467	2.325	3.445	3.57	3.776
Tomm6	ENSMUSG00000033475	66.725	58.135	56.993	67.253
Fam160b1	ENSMUSG00000033478	3.39	3.59	3.157	3.839
Catsper2	ENSMUSG00000033486	0.515	1.0	0.846	0.699
Fndc3a	ENSMUSG00000033487	16.85	14.845	13.24	11.688
BC026585	ENSMUSG00000033488	6.26	7.565	7.952	8.928
Prss35	ENSMUSG00000033491	1.815	1.54	1.528	1.655
Larp4b	ENSMUSG00000033499	13.89	15.07	16.763	21.162
Cdc14a	ENSMUSG00000033502	7.73	5.305	4.249	5.348
Asprv1	ENSMUSG00000033508	0.09	0.045	0.699	0.24
Ppip5k1	ENSMUSG00000033526	6.94	8.42	5.495	5.152
Ttc7b	ENSMUSG00000033530	8.555	12.535	9.474	10.932
Casp4	ENSMUSG00000033538	79.2	69.075	59.943	55.128
Idua	ENSMUSG00000033540	5.51	4.97	4.505	5.857
Arhgef5	ENSMUSG00000033542	4.025	2.98	3.64	4.369
Gtf2a2	ENSMUSG00000033543	288.105	312.385	350.076	255.231
Angptl1	ENSMUSG00000033544	12.975	9.075	79.52	40.519
Znrf1	ENSMUSG00000033545	8.875	19.7	16.28	19.72
Dph5	ENSMUSG00000033554	15.385	17.445	12.761	15.035
Fam20b	ENSMUSG00000033557	15.19	13.185	13.447	16.017
Rbfox2	ENSMUSG00000033565	2.34	1.99	6.397	7.842
Apol6	ENSMUSG00000033576	0.805	0.92	0.606	0.593
Myo6	ENSMUSG00000033577	25.885	29.515	12.847	10.426
Tmem35a	ENSMUSG00000033578	7.115	3.59	7.169	5.964
Fa2h	ENSMUSG00000033579	7.51	2.96	1.292	0.283
Igf2bp2	ENSMUSG00000033581	1.825	10.125	6.36	13.16
Ndn	ENSMUSG00000033585	8.525	10.145	15.494	10.992
Reep4	ENSMUSG00000033589	3.54	6.765	13.357	14.202
Spata2l	ENSMUSG00000033594	1.66	1.455	1.898	1.385
Rfwd3	ENSMUSG00000033596	11.67	10.195	16.76	22.394
Pank1	ENSMUSG00000033610	1.265	1.665	1.935	1.638
Pcgf3	ENSMUSG00000033623	3.52	4.57	7.676	9.334
Pdpr	ENSMUSG00000033624	3.345	3.41	2.634	3.826
Pik3c3	ENSMUSG00000033628	5.975	7.35	6.444	6.55
Hacd3	ENSMUSG00000033629	40.69	41.845	38.129	40.916
AW554918	ENSMUSG00000033632	7.355	4.855	7.286	5.894
Piwil2	ENSMUSG00000033644	0.33	0.78	0.42	0.959
Vps8	ENSMUSG00000033653	10.925	8.74	11.385	11.765
Ddx19b	ENSMUSG00000033658	2.515	2.415	2.774	4.143
Zfp7	ENSMUSG00000033669	1.43	0.555	1.442	1.485
Cep350	ENSMUSG00000033671	23.175	20.01	17.942	13.886
Qsox1	ENSMUSG00000033684	8.475	17.235	20.869	22.408
Ucp2	ENSMUSG00000033685	44.015	103.99	86.886	131.102
1300017J02Rik	ENSMUSG00000033688	2.015	0.37	0.097	0.1
Arhgap39	ENSMUSG00000033697	6.685	6.575	4.436	4.652
Acbd6	ENSMUSG00000033701	22.79	16.86	24.885	25.644
Fuk	ENSMUSG00000033703	1.555	2.06	2.564	3.014
Stard9	ENSMUSG00000033705	5.245	2.185	2.471	2.234
Smyd5	ENSMUSG00000033706	6.465	7.7	14.466	19.411
Lrrc24	ENSMUSG00000033707	2.55	3.07	2.088	2.421
Ccar2	ENSMUSG00000033712	5.745	9.515	11.032	14.605
Foxn3	ENSMUSG00000033713	31.725	32.92	29.614	26.823
Akr1c14	ENSMUSG00000033715	33.43	24.775	8.761	3.047
Adra2a	ENSMUSG00000033717	0.79	1.45	0.513	0.826
Sfxn5	ENSMUSG00000033720	0.415	0.94	0.623	0.596
Vav3	ENSMUSG00000033721	7.74	5.2	7.0	4.762
BC034090	ENSMUSG00000033722	1.07	2.085	4.878	6.404
Lrrc14	ENSMUSG00000033728	3.83	5.31	7.399	8.215
Egr3	ENSMUSG00000033730	0.925	1.97	0.969	1.459
Sf3b3	ENSMUSG00000033732	40.72	38.425	49.414	63.28
Spr	ENSMUSG00000033735	12.67	21.255	20.107	23.32
Fndc3c1	ENSMUSG00000033737	16.085	11.03	6.357	8.495
Fkbpl	ENSMUSG00000033739	3.575	2.415	4.059	3.487
Gadd45gip1	ENSMUSG00000033751	3.97	4.85	9.624	12.051
Mnd1	ENSMUSG00000033752	9.215	12.125	15.678	10.626
Rbm4b	ENSMUSG00000033760	17.86	20.015	11.552	13.576
Recql4	ENSMUSG00000033762	0.105	0.095	0.673	0.842
Mtss1l	ENSMUSG00000033763	4.115	9.09	6.094	8.368
Calm4	ENSMUSG00000033765	0.0	0.13	10.166	0.303
D930015E06Rik	ENSMUSG00000033767	13.755	6.875	10.04	9.707
Exoc6b	ENSMUSG00000033769	23.0	17.065	14.965	16.061
Rpap2	ENSMUSG00000033773	5.735	5.275	5.774	6.414
Tlr13	ENSMUSG00000033777	0.385	0.33	5.135	7.686
Asb13	ENSMUSG00000033781	10.255	8.135	5.921	5.388
Dysf	ENSMUSG00000033788	7.445	6.975	6.131	8.292
Tubgcp5	ENSMUSG00000033790	6.885	4.335	5.887	4.476
Atp7a	ENSMUSG00000033792	13.725	13.92	15.954	18.854
Atp6v1h	ENSMUSG00000033793	75.91	97.455	102.131	96.41
Fam208b	ENSMUSG00000033799	12.34	10.415	5.701	5.671
Ephx4	ENSMUSG00000033805	2.845	1.24	3.523	1.548
Tmem87a	ENSMUSG00000033808	20.12	19.48	16.79	10.236
Alg3	ENSMUSG00000033809	7.575	9.78	20.366	26.38
Tcea1	ENSMUSG00000033813	59.54	52.5	56.783	56.863
Ppp1r16a	ENSMUSG00000033819	5.87	8.455	11.638	15.195
Tpsb2	ENSMUSG00000033825	5.445	7.615	5.538	6.001
Fgb	ENSMUSG00000033831	0.215	12.345	0.0	0.0
Mrpl15	ENSMUSG00000033845	37.265	38.075	68.888	84.525
Kcnk10	ENSMUSG00000033854	0.75	1.43	0.29	0.176
Ston1	ENSMUSG00000033855	1.055	1.19	0.902	0.659
Engase	ENSMUSG00000033857	1.445	1.08	2.647	2.158
Fgg	ENSMUSG00000033860	0.0	6.01	0.057	0.027
Cdk10	ENSMUSG00000033862	7.89	8.645	11.086	13.26
Klf9	ENSMUSG00000033863	73.715	48.405	30.759	24.346
Ppargc1b	ENSMUSG00000033871	1.125	1.11	1.868	2.664
Lgals3bp	ENSMUSG00000033880	14.76	24.455	47.649	71.195
Rbm46	ENSMUSG00000033882	0.27	0.885	0.403	0.39
D3Ertd254e	ENSMUSG00000033883	3.385	2.535	2.381	2.601
Pxk	ENSMUSG00000033885	11.84	10.835	9.414	10.816
Map9	ENSMUSG00000033900	1.765	1.01	1.016	1.036
Mapkbp1	ENSMUSG00000033902	1.805	2.695	1.449	1.359
Ccp110	ENSMUSG00000033904	3.555	2.8	3.067	4.119
Zdhhc15	ENSMUSG00000033906	3.305	2.1	2.288	1.925
Usp36	ENSMUSG00000033909	5.135	5.05	4.382	5.571
Gucy1a3	ENSMUSG00000033910	37.2	23.575	22.804	15.042
Chmp2a	ENSMUSG00000033916	170.93	183.73	175.478	174.805
Gde1	ENSMUSG00000033917	50.995	59.555	82.158	85.498
Parl	ENSMUSG00000033918	41.85	44.205	65.814	89.55
Rbm34	ENSMUSG00000033931	10.065	11.835	14.599	16.503
Vhl	ENSMUSG00000033933	15.3	11.42	14.695	15.818
Ndufb7	ENSMUSG00000033938	79.28	139.125	156.13	177.529
Brk1	ENSMUSG00000033940	86.175	107.66	106.876	109.81
Mga	ENSMUSG00000033943	14.585	14.5	13.73	9.607
Trim36	ENSMUSG00000033949	2.41	2.035	1.941	2.381
Aspm	ENSMUSG00000033952	1.265	2.395	3.616	3.766
Ppp3r1	ENSMUSG00000033953	69.81	72.325	96.167	86.09
Tnks1bp1	ENSMUSG00000033955	7.125	6.68	4.236	4.595
9430020K01Rik	ENSMUSG00000033960	15.855	20.105	21.498	14.559
Zfp446	ENSMUSG00000033961	1.94	1.37	1.855	1.445
Zbtb41	ENSMUSG00000033964	13.67	14.625	11.472	13.753
Slc16a2	ENSMUSG00000033965	14.75	21.33	6.38	6.62
Rfc3	ENSMUSG00000033970	8.075	9.05	23.916	31.189
Zfp944	ENSMUSG00000033972	8.085	7.45	9.344	6.354
Coil	ENSMUSG00000033983	2.38	2.005	2.178	2.298
Tesk2	ENSMUSG00000033985	4.25	3.165	2.521	2.701
Ttc37	ENSMUSG00000033991	7.915	5.97	7.163	7.536
